Algorithm,SDC,Hang,Crash,Benign
bfs_01_map_visited,89,0,520,391
bfs_02_custom_queue,177,0,602,221
bfs_03_full_map,49,1,608,342
bfs_04_grid,189,0,566,245
bfs_05_level_buffered,210,2,540,248
bfs_08_set,105,2,488,405
bfs_09_deque,185,3,532,280
bfs_11_stlqueue,85,0,538,377
bfs_12_ll_queue,96,0,520,384
bfs_13_priority_queue,128,0,594,278
bfs_15_pointer,182,2,572,244
bfs_18_uset_visited,97,0,492,411
bfs_19_bidirectional,28,0,534,438
bfs_20_path_recon,32,0,528,440
bfs_21_bottom_up,45,0,506,449
bfs_22_iddfs,195,4,490,311
bfs_23_topological,58,0,527,415
bfs_24_color_coded,47,0,540,413
bfs_25_direction_opt,110,0,500,390
